step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
13,0.684920315,0.500000000,0.000000000,0.200000000,0.106161751,0.901054144,-0.174434483,0.843648732,0.367117256,0.626702249,0.027021080,-0.217294499,0.851764560,0.034217197,0.806242466,-0.322878003,0.837657094,0.337991089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
14,0.734905732,0.500000000,0.000000000,0.200000000,0.152610198,0.717207074,-0.129233286,0.798894346,0.518852413,0.162672341,-0.059612714,-0.250827342,0.499753714,-0.019234728,0.756172657,-0.326360404,0.639372528,0.330416560,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
15,0.784955885,0.500000000,0.000000000,0.200000000,0.281763047,0.258757085,-0.143381119,0.722702801,0.641024709,-0.291309476,-0.111248687,-0.246956736,-0.179131925,-0.051929299,0.644743502,-0.183475062,0.210852653,0.285358250,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
16,0.834919162,0.500000000,0.000000000,0.200000000,0.452108860,-0.611269534,-0.247366548,0.551485002,0.694432199,-0.759382367,-0.018734893,-0.122055948,-0.793289304,0.046877246,0.393391550,0.194519043,-0.413393855,0.180342779,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
17,0.884882450,0.500000000,0.000000000,0.200000000,0.569425225,-0.845289111,-0.377100796,0.400253832,0.526368737,-0.880795360,0.260657310,0.143246606,-0.906124830,0.222335324,0.214747876,0.445292801,-0.589240611,0.056583818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
18,0.934965736,0.500000000,0.000000000,0.200000000,0.561112881,-0.776023805,-0.207651451,0.329188794,0.251372755,-0.789981723,0.388699502,0.260100096,-0.853362203,0.242457435,0.188800573,0.371336430,-0.370680451,-0.003052285,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
19,0.984942630,0.500000000,0.000000000,0.200000000,0.435409874,-0.619138360,-0.153220326,0.223267734,0.114647254,-0.493656099,0.270207494,0.209208131,-0.628087699,0.088859849,0.051284723,0.178772062,-0.233475536,-0.027349846,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
20,1.034936036,0.500000000,0.000000000,0.200000000,0.191082299,-0.356633604,-0.222368911,0.104888439,-0.022780852,-0.137973756,0.121639781,0.119481094,-0.231713578,-0.021750759,0.019719154,0.081345715,-0.120846756,-0.053291768,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
21,1.084923331,0.500000000,0.000000000,0.200000000,0.001565217,-0.102029711,-0.171988353,-0.022589592,-0.012436817,-0.078088753,0.034255628,0.050281856,-0.048744619,-0.069300868,-0.029258873,0.011137971,-0.057760827,-0.036197174,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
22,1.135020143,0.500000000,0.000000000,0.200000000,-0.047615539,-0.034081575,-0.128061771,-0.006997825,0.000001948,-0.041953430,-0.022110688,0.033524081,0.003940634,-0.072078295,-0.042369712,0.020028170,-0.052793559,-0.025721099,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
23,1.184979357,0.500000000,0.000000000,0.200000000,-0.016462544,-0.038321301,-0.076977149,-0.010045470,0.021154007,-0.036861185,-0.052418675,0.023655420,0.022042628,-0.077022277,-0.042490579,0.015374753,-0.029479155,-0.014093360,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
24,1.234929410,0.500000000,0.000000000,0.200000000,-0.006633520,-0.021354098,-0.054500442,-0.024648229,0.041877385,-0.028343750,-0.054605145,0.028019939,0.015565664,-0.055015005,-0.041876435,0.009227215,-0.035452016,-0.011168775,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
25,1.284909262,0.500000000,0.000000000,0.200000000,0.005898914,-0.012706224,-0.033156075,-0.031049069,0.044356506,-0.027990621,-0.050854828,0.031775840,0.007428969,-0.046437770,-0.035315908,0.006337401,-0.027242400,-0.007712315,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
26,1.334907994,0.500000000,0.000000000,0.200000000,0.008234762,-0.006798835,-0.027162731,-0.032441355,0.035227802,-0.026099319,-0.043955907,0.033861093,-0.003694542,-0.039371230,-0.031843390,0.006902221,-0.029937468,-0.003692439,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
27,1.385613864,0.500000000,0.000000000,0.200000000,0.010472466,-0.007263699,-0.022396090,-0.030416822,0.035844911,-0.025222905,-0.039023861,0.032364957,-0.011786804,-0.036494952,-0.024924515,0.008351393,-0.023330001,-0.001862978,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
28,1.435389530,0.500000000,0.000000000,0.200000000,0.012481935,-0.009753725,-0.022191450,-0.026718555,0.032882042,-0.024135141,-0.035483237,0.030463425,-0.019121286,-0.033028491,-0.023047304,0.010001348,-0.021816010,-0.001313849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
29,1.484929814,0.500000000,0.000000000,0.200000000,0.014698967,-0.013627060,-0.021934887,-0.022923548,0.031396098,-0.022903675,-0.032955769,0.028938655,-0.021734601,-0.031269144,-0.020949552,0.011029117,-0.019493584,-0.001536212,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
30,1.534935775,0.500000000,0.000000000,0.200000000,0.016626628,-0.017528856,-0.022585075,-0.019667009,0.029503055,-0.022683790,-0.030670408,0.027763540,-0.022167204,-0.029643906,-0.020852230,0.011815944,-0.017791733,-0.002055336,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
31,1.584947652,0.500000000,0.000000000,0.200000000,0.017972009,-0.020407602,-0.023301980,-0.017145455,0.028329095,-0.022302378,-0.029007617,0.027037356,-0.022413837,-0.028531421,-0.020303922,0.012276294,-0.016224883,-0.002540374,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
