step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
14,0.734905732,0.500000000,0.000000000,0.200000000,0.155990154,0.717938425,-0.127906415,0.759223846,0.526674607,0.164705681,-0.065075587,-0.239147113,0.498656474,-0.022784882,0.762426479,-0.333180740,0.645080218,0.323940211,0.003379956,0.000731351,0.001326871,-0.039670500,0.007822194,0.002033340,-0.005462873,0.011680229,-0.001097240,-0.003550154,0.006253822,-0.006820336,0.005707690,-0.006476349
15,0.784955885,0.500000000,0.000000000,0.200000000,0.276991285,0.256873191,-0.139005369,0.724133846,0.633712785,-0.295946784,-0.113591837,-0.230299143,-0.176320319,-0.051066111,0.666715406,-0.191704620,0.195014897,0.276329952,-0.004771762,-0.001883894,0.004375750,0.001431045,-0.007311924,-0.004637308,-0.002343150,0.016657593,0.002811606,0.000863188,0.021971904,-0.008229558,-0.015837756,-0.009028298
16,0.834919162,0.500000000,0.000000000,0.200000000,0.453028576,-0.611605479,-0.249236471,0.553578061,0.690094093,-0.768207700,-0.016771555,-0.124228132,-0.795562138,0.049219802,0.399158611,0.179921575,-0.424395573,0.154777765,0.000919716,-0.000335945,-0.001869923,0.002093059,-0.004338106,-0.008825333,0.001963338,-0.002172184,-0.002272834,0.002342556,0.005767061,-0.014597468,-0.011001718,-0.025565014
17,0.884882450,0.500000000,0.000000000,0.200000000,0.562863127,-0.844830441,-0.379918613,0.386747869,0.513124167,-0.870939115,0.259446904,0.144775267,-0.906989822,0.217679154,0.220407104,0.446376138,-0.570865005,0.066519960,-0.006562098,0.000458670,-0.002817817,-0.013505963,-0.013244570,0.009856245,-0.001210406,0.001528661,-0.000864992,-0.004656170,0.005659228,0.001083337,0.018375606,0.009936142
18,0.934965736,0.500000000,0.000000000,0.200000000,0.554192934,-0.776313670,-0.208521018,0.327433252,0.238795979,-0.803815174,0.388209552,0.262377033,-0.862522450,0.250958560,0.197517156,0.364437469,-0.341691477,-0.031319864,-0.006919947,-0.000289865,-0.000869567,-0.001755542,-0.012576776,-0.013833451,-0.000489950,0.002276937,-0.009160247,0.008501125,0.008716583,-0.006898961,0.028988974,-0.028267579
19,0.984942630,0.500000000,0.000000000,0.200000000,0.429743404,-0.620999143,-0.147116842,0.212294729,0.121335855,-0.492016876,0.268520605,0.209862270,-0.637106270,0.092588391,0.036412168,0.167028463,-0.224182987,-0.036701665,-0.005666470,-0.001860783,0.006103484,-0.010973005,0.006688601,0.001639223,-0.001686889,0.000654139,-0.009018571,0.003728542,-0.014872555,-0.011743599,0.009292549,-0.009351819
20,1.034936036,0.500000000,0.000000000,0.200000000,0.200837074,-0.354410140,-0.231507169,0.106561158,-0.024495271,-0.121067752,0.120085656,0.114405012,-0.233394110,-0.022904393,0.006246505,0.084236107,-0.129051213,-0.069102870,0.009754775,0.002223464,-0.009138258,0.001672719,-0.001714419,0.016906004,-0.001554125,-0.005076082,-0.001680532,-0.001153634,-0.013472649,0.002890392,-0.008204457,-0.015811102
21,1.084923331,0.500000000,0.000000000,0.200000000,0.009509261,-0.101830146,-0.177854678,-0.042187403,-0.015953184,-0.088268500,0.030716748,0.058579709,-0.050045998,-0.072079659,-0.027004549,0.003578130,-0.057079336,-0.004211980,0.007944044,0.000199565,-0.005866325,-0.019597811,-0.003516367,-0.010179747,-0.003538880,0.008297853,-0.001301379,-0.002778791,0.002254324,-0.007559841,0.000681491,0.031985194
22,1.135020143,0.500000000,0.000000000,0.200000000,-0.047920678,-0.035125685,-0.134367127,0.001432403,-0.001881798,-0.038913460,-0.026473980,0.030371841,0.004478112,-0.069710300,-0.038989698,0.016234478,-0.034677246,-0.026588507,-0.000305139,-0.001044110,-0.006305356,0.008430228,-0.001883746,0.003039970,-0.004363292,-0.003152240,0.000537478,0.002367995,0.003380014,-0.003793692,0.018116313,-0.000867408
23,1.184979357,0.500000000,0.000000000,0.200000000,-0.027635711,-0.040463327,-0.077383006,-0.007247512,0.008004482,-0.046702907,-0.051504379,0.025490721,0.024592367,-0.073774590,-0.041920401,0.005074338,-0.011314974,0.004278872,-0.011173167,-0.002142026,-0.000405857,0.002797958,-0.013149525,-0.009841722,0.000914296,0.001835301,0.002549739,0.003247687,0.000570178,-0.010300415,0.018164181,0.018372232
24,1.234929410,0.500000000,0.000000000,0.200000000,0.002480759,-0.020581057,-0.053658290,-0.021026975,0.045355504,-0.042573297,-0.054853169,0.025791493,0.018784049,-0.053222062,-0.045396812,0.004537713,-0.053698455,-0.004885032,0.009114279,0.000773041,0.000842152,0.003621254,0.003478119,-0.014229547,-0.000248024,-0.002228446,0.003218385,0.001792943,-0.003520377,-0.004689502,-0.018246439,0.006283743
25,1.284909262,0.500000000,0.000000000,0.200000000,0.003776915,-0.013171336,-0.026948567,-0.015580039,0.041955003,-0.013969987,-0.048767879,0.032599221,0.001218931,-0.050396599,-0.021247178,-0.018246024,-0.002060966,0.005007714,-0.002121999,-0.000465112,0.006207508,0.015469030,-0.002401503,0.014020634,0.002086949,0.000823381,-0.006210038,-0.003958829,0.014068730,-0.024583425,0.025181434,0.012720029
26,1.334907994,0.500000000,0.000000000,0.200000000,0.006428051,-0.004106373,-0.025855309,-0.049843453,0.028610957,-0.034954606,-0.047242594,0.048774458,-0.003179089,-0.040399782,-0.020854680,0.013768102,-0.040570675,-0.022600062,-0.001806711,0.002692462,0.001307422,-0.017402098,-0.006616845,-0.008855287,-0.003286687,0.014913365,0.000515453,-0.001028552,0.010988710,0.006865881,-0.010633207,-0.018907623
27,1.385613864,0.500000000,0.000000000,0.200000000,-0.000306850,-0.005822547,-0.024103441,-0.018782770,0.035430383,-0.036731131,-0.040852508,0.043452164,-0.016774193,-0.034449653,-0.060141582,-0.002587780,-0.010105351,-0.037033678,-0.010779316,0.001441152,-0.001707351,0.011634052,-0.000414528,-0.011508226,-0.001828647,0.011087207,-0.004987389,0.002045299,-0.035217067,-0.010939173,0.013224650,-0.035170700
28,1.435389530,0.500000000,0.000000000,0.200000000,0.017920838,-0.010644763,-0.025706506,-0.007127959,0.027656114,-0.015427283,-0.036533965,0.033464356,-0.011290220,-0.027781652,-0.026155939,-0.018835005,0.003996691,-0.010620938,0.005438903,-0.000891038,-0.003515056,0.019590596,-0.005225928,0.008707858,-0.001050728,0.003000931,0.007831066,0.005246839,-0.003108635,-0.028836353,0.025812701,-0.009307089
29,1.484929814,0.500000000,0.000000000,0.200000000,0.021792722,-0.014880794,-0.023988558,-0.020746132,0.031642231,-0.006694437,-0.037434707,0.025150735,-0.019279858,-0.028917637,-0.019571994,0.014309468,-0.003764066,-0.010500192,0.007093755,-0.001253734,-0.002053671,0.002177416,0.000246133,0.016209238,-0.004478938,-0.003787920,0.002454743,0.002351507,0.001377558,0.003280351,0.015729518,-0.008963980
30,1.534935775,0.500000000,0.000000000,0.200000000,0.013955009,-0.017623714,-0.018525291,-0.039034895,0.048352518,-0.025195999,-0.032247989,0.025386413,-0.029982267,-0.033880153,-0.025029110,0.018293573,-0.006667890,-0.008588407,-0.002671619,-0.000094858,0.004059784,-0.019367886,0.018849463,-0.002512209,-0.001577581,-0.002377127,-0.007815063,-0.004236247,-0.004176880,0.006477629,0.011123843,-0.006533071
31,1.584947652,0.500000000,0.000000000,0.200000000,0.016549419,-0.019607762,-0.033447710,-0.019194444,0.038830705,-0.008858619,-0.029479539,0.016531633,-0.026718487,-0.022554240,0.009371724,0.010433840,-0.037762716,0.000628979,-0.001422590,0.000799840,-0.010145730,-0.002048989,0.010501610,0.013443759,-0.000471922,-0.010505723,-0.004304650,0.005977181,0.029675646,-0.001842454,-0.021537833,0.003169353
32,1.634977072,0.500000000,0.000000000,0.200000000,0.022931739,-0.018707841,-0.021536041,0.017658354,0.027685162,0.001155006,-0.030639400,0.038263999,-0.014210558,-0.023897273,-0.031001701,0.010979688,-0.032339980,-0.001571445,0.004306547,0.001532088,0.002142297,0.034518616,0.000205709,0.023121007,-0.002812558,0.011583299,0.008447259,0.004003318,-0.010818965,-0.001442019,-0.016954881,0.001229735
33,1.685376015,0.500000000,0.000000000,0.200000000,0.020173349,-0.018997049,-0.031014131,-0.026081042,0.004956541,-0.020807032,-0.029487717,0.034709761,-0.026681404,-0.024701124,-0.025089662,0.012328813,-0.017467812,-0.024344962,0.001646918,0.000984300,-0.006474379,-0.009823016,-0.020861526,0.000657007,-0.002744730,0.008242099,-0.003912482,0.002445681,-0.005417030,-0.000308033,-0.002971994,-0.021442574
34,1.734944419,0.500000000,0.000000000,0.200000000,0.023410420,-0.021236376,-0.017323735,-0.050085676,0.020809988,-0.014322984,-0.023772651,0.011134763,-0.021705849,-0.025799881,-0.015834114,0.007576842,-0.025486590,0.000096506,0.004580797,-0.001452643,0.006938246,-0.034326951,-0.004921054,0.006585253,0.002248118,-0.015194965,0.001303943,0.000749043,0.003584520,-0.005153240,-0.011828662,0.002900688
